Timestamp,CPU_Temp_C,RAM_Used_MB,RAM_Percent,CPU_Percent,Throttled_Hex,Throttled_Meaning
13:45:42,83.7,1960,50.6,7.8,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:43,83.15,1951,50.4,15.7,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:44,83.7,1952,50.4,7.0,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:45,84.8,1953,50.4,9.2,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:46,83.15,1954,50.5,7.8,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:47,83.7,1950,50.4,10.4,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:48,84.25,1952,50.4,14.1,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:49,83.7,1955,50.5,13.4,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:50,83.7,1957,50.5,8.2,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:51,83.7,1955,50.5,9.2,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:52,83.15,1952,50.4,8.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:53,83.15,1954,50.5,11.1,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:54,84.8,1955,50.5,7.9,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:55,83.15,1957,50.6,8.0,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:56,83.15,1959,50.6,8.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:57,82.05,1959,50.6,10.6,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:58,82.05,1960,50.6,30.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:45:59,83.15,1964,50.7,18.0,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:00,84.8,1968,50.8,8.1,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:01,85.35,2005,51.7,21.4,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:02,83.15,2007,51.8,12.1,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:03,83.15,2009,51.8,19.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:04,82.05,2010,51.8,7.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:05,83.7,2010,51.9,12.0,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:06,83.15,2012,51.9,8.5,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:07,84.8,2013,51.9,22.5,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:08,83.7,2010,51.9,14.8,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:09,84.25,2011,51.9,20.5,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:10,83.7,2009,51.8,10.0,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:11,84.25,2012,51.9,8.8,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:12,84.25,2094,53.9,28.6,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:13,85.9,2140,55.3,26.0,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:14,83.7,2143,55.4,11.6,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:15,83.7,2104,54.4,4.3,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:16,84.25,2007,52.0,26.4,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:17,83.7,2005,51.9,27.5,0xe0008,Soft temp limit active; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
13:46:18,85.9,1463,38.5,43.5,0xe0006,Arm frequency capped; Currently throttled; Arm frequency capping has occurred; Throttling has occurred; Soft temp limit has occurred
